CG beads number:   49,  the thread number:   16
thread:  0,  CNa = 1000.000000,  CMg = 0.000000, t0 = 25.000000
thread: 13,  step: 15000,     T:120.0,    Energy: 164.349686 kcal/mol
thread: 10,  step: 15000,     T: 94.0,    Energy: 148.373276 kcal/mol
thread: 6,  step: 14000,     T: 63.0,    Energy: 190.289001 kcal/mol
thread: 7,  step: 14000,     T: 71.0,    Energy: 147.408844 kcal/mol
thread: 12,  step: 15000,     T:110.0,    Energy: 159.345795 kcal/mol
thread: 0,  step: 15000,     T: 25.0,    Energy: 140.412415 kcal/mol
thread: 5,  step: 15000,     T: 55.0,    Energy: 191.729980 kcal/mol
thread: 1,  step: 15000,     T: 31.0,    Energy: 143.803848 kcal/mol
thread: 9,  step: 15000,     T: 86.0,    Energy: 166.451004 kcal/mol
thread: 8,  step: 14000,     T: 78.0,    Energy: 202.169174 kcal/mol
thread: 15,  step: 16000,     T:  0.0,    Energy: 166.170639 kcal/mol
thread: 4,  step: 16000,     T: 49.0,    Energy: 156.978806 kcal/mol
thread: 14,  step: 16000,     T:130.0,    Energy: 168.921082 kcal/mol
thread: 11,  step: 16000,     T:102.0,    Energy: 170.202866 kcal/mol
thread: 13,  step: 16000,     T:120.0,    Energy: 279.813660 kcal/mol
thread: 10,  step: 16000,     T: 94.0,    Energy: 162.587265 kcal/mol
thread: 2,  step: 15000,     T: 37.0,    Energy: 169.019196 kcal/mol
thread: 3,  step: 15000,     T: 43.0,    Energy: 155.073212 kcal/mol
thread: 0,  step: 16000,     T: 25.0,    Energy: 160.299820 kcal/mol
thread: 12,  step: 16000,     T:110.0,    Energy: 153.889557 kcal/mol
thread: 5,  step: 16000,     T: 55.0,    Energy: 192.473648 kcal/mol
thread: 6,  step: 15000,     T: 63.0,    Energy: 164.499390 kcal/mol
thread: 7,  step: 15000,     T: 71.0,    Energy: 150.547653 kcal/mol
thread: 1,  step: 16000,     T: 31.0,    Energy: 150.374786 kcal/mol
thread: 9,  step: 16000,     T: 86.0,    Energy: 142.961395 kcal/mol
thread: 8,  step: 15000,     T: 78.0,    Energy: 191.369995 kcal/mol
thread: 15,  step: 17000,     T:  0.0,    Energy: 182.723923 kcal/mol
thread: 4,  step: 17000,     T: 49.0,    Energy: 167.535538 kcal/mol
thread: 11,  step: 17000,     T:102.0,    Energy: 146.495712 kcal/mol
thread: 14,  step: 17000,     T:130.0,    Energy: 168.699707 kcal/mol
thread: 10,  step: 17000,     T: 94.0,    Energy: 141.799683 kcal/mol
thread: 13,  step: 17000,     T:120.0,    Energy: 165.103775 kcal/mol
thread: 0,  step: 17000,     T: 25.0,    Energy: 142.334000 kcal/mol
thread: 5,  step: 17000,     T: 55.0,    Energy: 205.152786 kcal/mol
thread: 12,  step: 17000,     T:110.0,    Energy: 154.916534 kcal/mol
thread: 2,  step: 16000,     T: 37.0,    Energy: 175.928085 kcal/mol
thread: 3,  step: 16000,     T: 43.0,    Energy: 143.611359 kcal/mol
thread: 1,  step: 17000,     T: 31.0,    Energy: 146.361069 kcal/mol
thread: 9,  step: 17000,     T: 86.0,    Energy: 161.405930 kcal/mol
thread: 6,  step: 16000,     T: 63.0,    Energy: 175.862961 kcal/mol
thread: 7,  step: 16000,     T: 71.0,    Energy: 125.606918 kcal/mol
thread: 15,  step: 18000,     T:  0.0,    Energy: 177.511139 kcal/mol
thread: 8,  step: 16000,     T: 78.0,    Energy: 167.322388 kcal/mol
thread: 4,  step: 18000,     T: 49.0,    Energy: 172.403488 kcal/mol
thread: 11,  step: 18000,     T:102.0,    Energy: 162.568130 kcal/mol
thread: 10,  step: 18000,     T: 94.0,    Energy: 140.419266 kcal/mol
thread: 14,  step: 18000,     T:130.0,    Energy: 152.802353 kcal/mol
thread: 13,  step: 18000,     T:120.0,    Energy: 168.046036 kcal/mol
thread: 0,  step: 18000,     T: 25.0,    Energy: 145.810440 kcal/mol
thread: 12,  step: 18000,     T:110.0,    Energy: 159.222580 kcal/mol
thread: 5,  step: 18000,     T: 55.0,    Energy: 183.165817 kcal/mol
thread: 1,  step: 18000,     T: 31.0,    Energy: 171.925690 kcal/mol
thread: 9,  step: 18000,     T: 86.0,    Energy: 185.576706 kcal/mol
thread: 2,  step: 17000,     T: 37.0,    Energy: 193.422958 kcal/mol
thread: 3,  step: 17000,     T: 43.0,    Energy: 150.948975 kcal/mol
thread: 6,  step: 17000,     T: 63.0,    Energy: 172.780151 kcal/mol
thread: 7,  step: 17000,     T: 71.0,    Energy: 140.938965 kcal/mol
thread: 15,  step: 19000,     T:  0.0,    Energy: 169.541443 kcal/mol
thread: 8,  step: 17000,     T: 78.0,    Energy: 176.829742 kcal/mol
thread: 4,  step: 19000,     T: 49.0,    Energy: 162.898636 kcal/mol
thread: 11,  step: 19000,     T:102.0,    Energy: 152.886780 kcal/mol
thread: 10,  step: 19000,     T: 94.0,    Energy: 144.203659 kcal/mol
thread: 13,  step: 19000,     T:120.0,    Energy: 161.821884 kcal/mol
thread: 14,  step: 19000,     T:130.0,    Energy: 172.248627 kcal/mol
thread: 0,  step: 19000,     T: 25.0,    Energy: 135.433502 kcal/mol
thread: 12,  step: 19000,     T:110.0,    Energy: 173.156326 kcal/mol
thread: 5,  step: 19000,     T: 55.0,    Energy: 177.683823 kcal/mol
thread: 1,  step: 19000,     T: 31.0,    Energy: 150.835602 kcal/mol
thread: 9,  step: 19000,     T: 86.0,    Energy: 167.313309 kcal/mol
thread: 2,  step: 18000,     T: 37.0,    Energy: 178.308701 kcal/mol
thread: 3,  step: 18000,     T: 43.0,    Energy: 159.429138 kcal/mol
thread: 6,  step: 18000,     T: 63.0,    Energy: 158.978394 kcal/mol
thread: 7,  step: 18000,     T: 71.0,    Energy: 155.844772 kcal/mol
thread: 15,  step: 20000,     T:  0.0,    Energy: 156.331589 kcal/mol
thread: 11,  step: 20000,     T:102.0,    Energy: 147.527695 kcal/mol
thread: 4,  step: 20000,     T: 49.0,    Energy: 160.480530 kcal/mol
thread: 10,  step: 20000,     T: 94.0,    Energy: 165.969452 kcal/mol
thread: 8,  step: 18000,     T: 78.0,    Energy: 179.799515 kcal/mol
thread: 13,  step: 20000,     T:120.0,    Energy: 164.359070 kcal/mol
thread: 14,  step: 20000,     T:130.0,    Energy: 178.880493 kcal/mol
thread: 0,  step: 20000,     T: 25.0,    Energy: 162.395386 kcal/mol
thread: 12,  step: 20000,     T:110.0,    Energy: 172.281174 kcal/mol
thread: 5,  step: 20000,     T: 55.0,    Energy: 148.486298 kcal/mol
thread: 1,  step: 20000,     T: 31.0,    Energy: 149.638641 kcal/mol
thread: 9,  step: 20000,     T: 86.0,    Energy: 149.228302 kcal/mol
thread: 2,  step: 19000,     T: 37.0,    Energy: 187.166275 kcal/mol
thread: 3,  step: 19000,     T: 43.0,    Energy: 176.416061 kcal/mol
thread: 6,  step: 19000,     T: 63.0,    Energy: 161.488831 kcal/mol
thread: 7,  step: 19000,     T: 71.0,    Energy: 134.800156 kcal/mol
thread: 15,  step: 21000,     T:  0.0,    Energy: 169.281342 kcal/mol
thread: 11,  step: 21000,     T:102.0,    Energy: 162.262115 kcal/mol
thread: 4,  step: 21000,     T: 49.0,    Energy: 167.272049 kcal/mol
thread: 10,  step: 21000,     T: 94.0,    Energy: 161.523026 kcal/mol
thread: 13,  step: 21000,     T:120.0,    Energy: 160.298096 kcal/mol
thread: 14,  step: 21000,     T:130.0,    Energy: 164.391068 kcal/mol
thread: 0,  step: 21000,     T: 25.0,    Energy: 148.170715 kcal/mol
thread: 8,  step: 19000,     T: 78.0,    Energy: 179.223892 kcal/mol
thread: 12,  step: 21000,     T:110.0,    Energy: 138.989685 kcal/mol
thread: 5,  step: 21000,     T: 55.0,    Energy: 170.253494 kcal/mol
thread: 1,  step: 21000,     T: 31.0,    Energy: 164.750549 kcal/mol
thread: 9,  step: 21000,     T: 86.0,    Energy: 137.024933 kcal/mol
thread: 2,  step: 20000,     T: 37.0,    Energy: 175.849396 kcal/mol
thread: 3,  step: 20000,     T: 43.0,    Energy: 149.129700 kcal/mol
thread: 15,  step: 22000,     T:  0.0,    Energy: 154.552704 kcal/mol
thread: 6,  step: 20000,     T: 63.0,    Energy: 161.873138 kcal/mol
thread: 7,  step: 20000,     T: 71.0,    Energy: 135.121094 kcal/mol
thread: 11,  step: 22000,     T:102.0,    Energy: 185.164825 kcal/mol
thread: 4,  step: 22000,     T: 49.0,    Energy: 169.679398 kcal/mol
thread: 10,  step: 22000,     T: 94.0,    Energy: 186.485199 kcal/mol
thread: 13,  step: 22000,     T:120.0,    Energy: 168.577393 kcal/mol
thread: 0,  step: 22000,     T: 25.0,    Energy: 123.790375 kcal/mol
thread: 14,  step: 22000,     T:130.0,    Energy: 152.519836 kcal/mol
thread: 12,  step: 22000,     T:110.0,    Energy: 158.427231 kcal/mol
thread: 5,  step: 22000,     T: 55.0,    Energy: 172.902954 kcal/mol
thread: 8,  step: 20000,     T: 78.0,    Energy: 172.003998 kcal/mol
